State,Decade,Active tuberculosis,Acute hepatitis C,Acute nonparalytic poliomyelitis,Acute paralytic poliomyelitis,Acute poliomyelitis,Acute type A viral hepatitis,Acute type B viral hepatitis,Amebic dysentery,Anthrax,Aseptic meningitis,Babesiosis,Bacillary dysentery,Brucellosis,Campylobacteriosis,Chlamydia trachomatis infection,Chlamydial infection,Cholera,Coccidioidomycosis,Cryptosporidiosis,Dengue,Dengue hemorrhagic fever,Dengue without warning signs,Diphtheria,Disorder of nervous system caused by West Nile virus,Dysentery,Encephalitis,Encephalitis lethargica,Giardiasis,Gonorrhea,Haemophilus influenzae infection,Hepatitis non-A non-B,Human anaplasmosis caused by Anaplasma phagocytophilum,Human ehrlichiosis caused by Ehrlichia chaffeensis,Infantile paralysis,Infection caused by Escherichia coli,Infection caused by larvae of Trichinella,Infection caused by non-cholerae vibrio,Infection caused by Shiga toxin producing Escherichia coli,Infective encephalitis,Inflammatory disease of liver,Influenza,Invasive drug resistant Streptococcus pneumoniae disease,Invasive Group A beta-hemolytic streptococcal disease,Invasive meningococcal disease,Invasive Streptococcus pneumoniae disease,Legionella infection,Leprosy,Lobar pneumonia,Lyme disease,Malaria,Measles,Meningitis,Meningococcal infectious disease,Meningococcal meningitis,Mumps,Murine typhus,Ornithosis,Pellagra,Pertussis,Pneumonia,Post-infectious encephalitis,Primary encephalitis,Rocky Mountain spotted fever,Rubella,Salmonella infection,Scarlet fever,Shigellosis,Smallpox,Smallpox without rash,Spotted fever group rickettsial disease,Streptococcal sore throat,Tetanus,Toxic shock syndrome,Tuberculosis,Tularemia,Typhoid and paratyphoid fevers,Typhoid fever,Typhus group rickettsial disease,Varicella,Viral hepatitis,Viral hepatitis type B,"Viral hepatitis, type A",West Nile fever without encephalitis,Yellow fever
ALABAMA,2000,0,0,0,0,0,19,80,0,0,0,0,0,0,0,0,8252,0,0,155,0,0,0,0,0,0,0,0,400,3654,42,0,0,0,0,31,0,0,46,0,0,0,0,0,6,0,8,0,0,10,14,0,0,0,0,3,0,0,0,143,0,0,0,73,3,1633,0,766,0,0,0,0,0,0,0,0,0,0,0,728,0,11,3,0,0
ALABAMA,2010,0,2,0,0,0,43,127,0,0,0,0,0,0,459,7009,40734,0,0,386,0,0,1,0,0,0,0,0,442,14076,112,0,13,17,0,0,0,24,71,0,0,0,0,0,0,332,104,0,0,43,16,0,0,0,0,1,0,0,0,180,0,0,0,245,0,1929,0,701,0,0,126,0,1,0,35,0,0,0,0,517,0,0,0,1,0
ALASKA,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ALASKA,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALASKA,1950,0,0,161,204,518,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,522,0,0,0,0,0,0,0,0,2,8581,1,71,6,0,0,0,0,219,61,0,0,0,0,0,411,0,0,0,0,0,0,0,0,2,8,15,0,0,0,175,0,0,0
ALASKA,1960,0,0,0,2,2,0,0,0,0,119,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7,7896,0,110,7,1638,0,0,0,0,0,5,7,0,1183,0,15319,0,0,0,0,2736,0,0,0,3,0,7,0,0,0,1498,276,0,0
ALASKA,1970,161,0,0,0,0,0,0,0,0,304,0,0,11,0,0,0,0,0,0,0,0,0,38,0,0,19,0,0,30584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,206,0,99,0,1736,0,0,0,38,0,1,46,0,170,0,0,0,0,0,0,0,1,0,123,1,0,10,0,3628,92,348,3121,0,0
ALASKA,1980,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7070,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,9,0,36,0,120,0,0,0,52,0,0,8,0,23,0,0,0,0,0,0,0,0,0,29,0,0,0,0,635,78,486,456,0,0
ALASKA,1990,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,36,0,0,0,35,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,38,0,0
ALASKA,2000,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0,11613,0,0,13,0,0,0,0,0,0,0,0,289,1437,36,0,0,0,0,3,0,0,1,0,0,0,0,80,1,15,3,0,0,15,19,1,0,1,0,8,0,0,0,297,0,0,0,0,0,209,0,16,0,0,0,0,0,0,0,0,0,0,0,127,0,1,0,0,0
ALASKA,2010,0,0,0,0,0,10,12,0,0,0,0,0,0,178,613,6460,0,0,23,1,0,0,0,0,0,0,0,311,1443,82,0,0,0,0,0,0,10,16,0,0,0,0,0,0,471,1,0,0,34,14,0,0,0,0,11,0,0,0,617,0,0,0,0,0,275,0,22,0,0,0,0,1,0,7,0,0,0,0,161,0,0,0,0,0
AMERICAN SAMOA,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,26,34,0,0
AMERICAN SAMOA,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
AMERICAN SAMOA,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMERICAN SAMOA,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIZONA,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIZONA,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIZONA,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARIZONA,1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,1,0,0,0,0,0,42,0,21,0,0,0,0,0,187,0,0,45,0,0,0,0,0,0,0
ARIZONA,1920,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,5043,0,0,0,0,0,0,0,0,0,1176,3,0,357,7,0,0,7,31,368,0,0,0,0,0,585,0,708,0,0,0,0,0,1334,0,0,321,0,29,0,0,0,0,0
ARIZONA,1930,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1662,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,24891,0,0,0,0,0,0,0,0,0,14718,0,0,499,36,0,0,1,1105,312,0,0,0,0,0,5225,0,1193,0,0,0,0,0,429,0,259,893,0,83,0,0,0,0,0
ARIZONA,1940,0,0,0,0,663,0,0,45,0,0,0,13,75,0,0,0,0,0,0,0,0,0,1249,0,7592,3,0,0,0,0,0,0,0,0,0,0,0,0,64,0,67544,0,0,0,0,0,0,0,0,0,27703,3,0,225,0,1,0,0,9862,1086,0,0,1,0,0,4031,0,51,0,0,0,0,0,0,6,487,2,0,0,0,0,0,0,0
ARIZONA,1950,0,0,289,258,2041,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,108,0,24489,0,0,0,0,0,0,0,0,90,71145,29,296,30,0,2,2,0,8666,2422,0,0,8,0,0,27985,0,8,0,0,0,0,0,0,14,69,169,0,0,8,1434,0,0,0
ARIZONA,1960,0,0,4,23,30,0,0,0,0,113,0,0,22,0,0,0,0,0,0,0,0,0,34,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,11,42549,0,108,8,4115,0,1,0,0,0,1,24,0,5068,0,47571,0,0,0,0,16545,11,0,0,3,0,75,0,0,0,2330,1758,0,0
ARIZONA,1970,1102,0,0,0,0,0,0,0,0,98,0,0,3,0,0,0,0,0,0,0,0,0,106,0,0,9,0,0,75062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3109,0,115,0,3384,0,0,0,52,0,1,3,1,1626,0,0,0,0,0,0,0,3,0,1961,2,0,51,0,1921,2987,871,7694,0,0
ARIZONA,1980,0,0,0,0,0,0,0,0,0,511,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,18110,0,789,0,0,0,0,0,0,0,0,1,0,0,0,0,0,63,0,0,0,33,1013,0,60,0,1191,0,0,0,1071,0,0,9,0,103,0,0,0,0,0,0,0,0,46,1083,0,0,24,0,37,2016,3397,7138,0,0
ARIZONA,1990,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,382,0,0,0,1016,0,0,0,0,55,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,42,9,196,0,0
ARIZONA,2000,0,0,0,0,0,305,127,0,0,0,0,0,0,0,0,37649,0,14537,111,0,0,0,0,2,0,0,0,647,7954,196,0,0,0,0,62,0,0,164,0,0,0,0,475,3,49,116,0,0,3,13,2,0,6,0,5,0,0,0,1171,0,0,0,16,1,1987,0,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,1,0
ARIZONA,2010,0,0,0,0,0,197,25,0,0,0,0,0,0,2294,39576,67254,0,36781,622,0,0,0,0,2,0,0,0,455,25648,263,0,0,0,0,0,0,47,341,0,0,0,0,4,0,3962,187,0,0,9,68,0,0,0,0,21,0,0,0,994,0,0,0,20,0,2826,0,2132,0,0,8,0,2,0,53,0,0,0,0,895,0,0,0,1,0
ARKANSAS,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARKANSAS,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,4,0,0,0,0,0,22,0,0,3,0,0,0,0,0,0,0
ARKANSAS,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,56,0,0,14,0,0,0,0,0,0,0
ARKANSAS,1910,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,101,0,0,2233,78,0,0,0,0,0,0,0,926,0,0,0,0,0,420,0,870,0,0,0,0,0,620,0,0,536,0,0,0,0,0,0,0
ARKANSAS,1920,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,12,0,0,0,0,0,0,9,0,0,0,0,0,0,39327,0,0,0,0,0,0,0,0,0,18464,31,0,197,633,0,0,235,992,1167,0,0,0,0,0,3432,0,672,0,0,0,0,0,1304,0,0,2352,0,832,0,0,0,0,0
ARKANSAS,1930,0,0,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6204,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,81408,0,0,0,0,0,0,0,0,0,30075,0,0,579,181,0,0,59,2177,1515,0,0,0,0,0,6653,0,2472,0,0,0,0,0,826,0,1164,4511,0,424,0,0,0,0,0
ARKANSAS,1940,0,0,0,0,2008,0,0,843,3,0,0,2328,195,0,0,0,0,0,0,0,0,0,3457,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,134781,0,0,0,0,0,0,0,0,0,43312,3,0,652,0,78,0,0,10482,3499,0,0,29,0,0,3993,0,291,0,0,0,0,0,140,1072,2017,16,46,0,0,0,0,0,0
ARKANSAS,1950,0,0,347,674,2567,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,114,0,29358,0,0,0,0,0,0,0,0,225,45394,64,470,111,0,2,1,0,7238,4027,0,0,29,0,0,10335,0,1,0,0,0,0,0,0,565,200,677,0,0,3,324,0,0,0
ARKANSAS,1960,0,0,32,69,102,0,0,0,0,99,0,0,73,0,0,0,0,0,0,0,0,0,88,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,26,11124,0,225,34,108,2,0,0,0,0,37,32,37,230,0,2293,0,0,0,0,528,57,0,0,399,0,247,0,0,0,2167,949,0,0
